Year,Hong Kong Construction Share of GDP (%),Singapore Construction Share of GDP (%)
2000,9.126796914544363,5.163724005689708
2001,8.627838642628877,5.416395252278638
2002,8.170558087657756,4.253217146122979
2003,7.880515871721193,4.072410957341938
2004,7.0747614372310546,3.3215554972664103
2005,6.433637248827122,2.918490243180098
2006,6.0019250328100355,2.258480310706186
2007,5.625664846894392,2.022276690370579
2008,5.833075156648338,2.8374295835316725
2009,6.083730853490594,3.591606777044171
2010,6.26425690692956,3.3566874559032804
2011,6.6445929808780875,3.316438411135451
2012,7.92559272951839,3.3397736532613105
2013,8.257708792711984,3.262085954670963
2014,8.837900801104423,3.692637559942037
2015,9.337817102256617,3.6875233354296357
2016,9.495350112703857,3.737309366844855
2017,9.396825325207333,3.1213318470149725
2018,8.893751174866308,2.6846656767027555
