,Hong Kong R&D Share of GDP (%),Singapore R&D Share of GDP (%)
1999,0.11,1.8162424573938907
2000,0.08,1.816987497615201
2001,0.16,2.0093035050992754
2002,0.19,2.0328175157108017
2003,0.28,1.9967916368589078
2004,0.35,2.0785926257374006
2005,0.4,2.148056392585663
2006,0.42,2.1165630922921355
2007,0.37,2.3198590673331925
2008,0.31,2.596735946639722
2009,0.33,2.127902632664588
2010,0.32,1.9291816229795027
2011,0.32,2.0695487550228693
2012,0.33,1.9183340315995994
2013,0.33,1.9210393735240159
2014,0.33,2.082281922025407
2015,0.33,2.174449945104915
2016,0.34,2.0727574748569433
2017,0.35,1.8991338623209013
2018,0.39,1.8094662397586634
